AREA,PERIMETER,NCIDAD_,NCIDAD_ID,NOME
502301.500000,3348.959000,61,56,Retiro do Muriaé
1367007.000000,9400.287000,62,57,Miraí
648385.400000,5952.627000,63,58,Rodeiro
11746740.000000,33642.670000,64,59,Itaperuna
151482.200000,2022.770000,65,60,Diamante de Ubá
211432.300000,2037.022000,66,61,Boa Família
417843.000000,3701.690000,67,62,Laje do Muriaé
61393.280000,960.403300,68,63,Bom Retiro
293874.800000,2609.081000,69,64,Santa Bárbara do Tugúrio
556940.800000,4313.293000,70,229,Santo Eduardo
215732.900000,3003.678000,71,65,Barão de Monte Alto
247230.200000,2365.798000,72,66,Cachoeira Alegre
2068269.000000,9784.096000,73,67,Rio Pomba
47879.950000,841.050100,74,68,Glória
302023.900000,2823.786000,75,69,Bom Jesus da Cachoeira
174535.100000,1795.287000,76,70,Sobral Pinto
700198.800000,4660.008000,77,71,Piraúba
216151.900000,1993.929000,78,72,Santana do Campestre
103713.700000,1471.670000,79,73,Piraúba
142086.800000,1803.260000,80,74,Paiva
166332.700000,1518.176000,81,75,São João da Sapucaia
445507.700000,2630.342000,82,76,Santana de Cataguases
293030.000000,2314.422000,83,230,Correia de Almeida
109626.200000,1495.392000,84,231,Santa Maria
93170.030000,1531.224000,85,77,Cataguarino
1757304.000000,11207.540000,86,78,Astolfo Dutra
325705.800000,3942.600000,87,639,Antônio Carlos
308005.600000,3185.928000,88,79,Silveira Carvalho
142773.100000,1561.807000,89,80,Usina Paraíso
721341.900000,5656.042000,90,81,Dona Euzébia
165217.300000,2130.874000,91,82,Nossa Senhora da Penha
390548.600000,2702.303000,92,83,Sereno
178204.600000,1610.189000,93,84,Itajara
142666.100000,1607.664000,94,85,Oliveira Fortes
321317.800000,2455.044000,95,86,Aracitaba
284212.100000,2642.914000,96,87,Boaventura
459766.600000,2968.938000,97,88,Venda das Flores
196097.900000,1764.086000,98,89,São Manoel do Guaiaçu
340973.900000,3139.656000,99,90,Tabuleiro
624316.900000,4844.866000,100,91,Guarani
395384.300000,3407.116000,101,92,Laranjal
6104558.000000,31848.680000,102,93,Cataguases
142235.300000,1588.742000,103,94,São José de Ubá
768106.400000,4834.938000,104,95,Palma
266817.100000,3528.680000,105,232,Morro do Côco
3769762.000000,15638.850000,106,96,Miracema
220182.300000,2633.961000,107,97,Ibraim
267610.800000,2881.962000,108,98,Itamarati de Minas
85837.340000,1241.549000,109,99,Aracati
98221.280000,1277.413000,110,100,Conceição do Formoso
530883.900000,3703.644000,111,101,São João do Paraíso
1929036.000000,8569.255000,112,102,Italva
187449.100000,1964.390000,113,103,Mantiqueira
2937086.000000,19802.060000,114,104,Santos Dumont
165232.500000,1626.833000,115,105,Paraíso do Tobias
149748.600000,1607.830000,116,106,Santos Dumont
352483.800000,2322.430000,117,107,Cisneiros
