R268,R26,75, 7.41519300000000E+0004,4
R2682,R268,55, 1.12671200000000E+0004,5
R2692,R26,62, 7.83991000000000E+0004,4
R2694,R26,64, 8.89388100000000E+0004,4
R2696,R26,63, 9.20389400000000E+0004,4
R272,R2,402, 2.04121590000000E+0005,3
R274,R2,389, 2.05568390000000E+0005,3
R276,R2,377, 2.08885960000000E+0005,3
R28,R2,373, 2.09023500000000E+0005,3
R282,R28,374, 4.30182999999999E+0003,4
R2832,R28,357, 5.64690999999997E+0003,4
R2834,R28,342, 1.02924699999999E+0004,4
R2836,R28,317, 1.51230799999999E+0004,4
R28362,R2836,279, 4.02333000000002E+0003,5
R284,R28,281, 1.64651600000000E+0004,4
R28412,R284,280, 2.81029999999999E+0003,5
R28414,R284,272, 6.84289999999997E+0003,5
R28416,R284,270, 1.06451699999999E+0004,5
R2842,R284,261, 1.32239299999999E+0004,5
R28422,R2842,290, 2.52753999999998E+0003,6
R2844,R284,260, 1.50865600000000E+0004,5
R2846,R284,256, 1.98500700000000E+0004,5
R2848,R284,271, 2.87933300000000E+0004,5
R2852,R28,273, 1.82450200000000E+0004,4
R2854,R28,263, 2.66800700000000E+0004,4
R286,R28,207, 3.04063500000000E+0004,4
R288,R28,148, 4.96143400000000E+0004,4
R2892,R28,143, 5.71046500000000E+0004,4
R292,R2,401, 2.15228930000000E+0005,3
R2922,R292,414, 1.10900000000000E+0003,4
R2924,R292,487, 8.22906999999998E+0003,4
R29242,R2924,509, 3.79054999999999E+0003,5
R29244,R2924,553, 6.69069000000000E+0003,5
R2926,R292,503, 9.31379999999996E+0003,4
R294,R2,409, 2.17739060000000E+0005,3
R2942,R294,410, 4.32543999999997E+0003,4
R2944,R294,396, 5.14042999999996E+0003,4
R2946,R294,387, 8.10985999999996E+0003,4
R2948,R294,364, 1.72719599999999E+0004,4
R2952,R2,434, 2.20821230000000E+0005,3
R29532,R2,460, 2.29007190000000E+0005,3
R2954,R2,466, 2.29863720000000E+0005,3
R2956,R2,462, 2.36326620000000E+0005,3
R2958,R2,493, 2.40448320000000E+0005,3
R29582,R2958,559, 6.92614000000001E+0003,4
R296,R2,498, 2.41987770000000E+0005,3
R2962,R296,557, 7.30698999999999E+0003,4
R298,R2,496, 2.49066470000000E+0005,3
R2982,R298,485, 6.70251000000001E+0003,4
R2984,R298,504, 1.42658400000000E+0004,4
R2992,R2,484, 2.55154780000000E+0005,3
R2994,R2,435, 2.56003770000000E+0005,3
R2996,R2,423, 2.57389770000000E+0005,3
R312,R,1557, 5.71358100000000E+0004,2
R314,R,1485, 6.12643500000000E+0004,2
R32,R,1427, 6.14688300000000E+0004,2
R322,R32,1426, 3.75273000000000E+0003,3
R3312,R,1425, 6.52718300000000E+0004,2
R332,R,1384, 6.67765200000000E+0004,2
R3332,R,1378, 6.89401000000000E+0004,2
R334,R,1395, 7.29750200000000E+0004,2
R3342,R334,1401, 6.82410000000003E+0002,3
R336,R,1399, 7.46522100000000E+0004,2
R338,R,1407, 7.66677500000000E+0004,2
R34,R,1434, 8.02259300000000E+0004,2
R342,R34,1499, 6.07753999999999E+0003,3
R344,R34,1544, 1.35011200000000E+0004,3
R346,R34,1578, 1.89977800000000E+0004,3
R3472,R34,1603, 2.54355600000000E+0004,3
R3474,R34,1635, 3.00210700000000E+0004,3
R348,R34,1658, 3.34691400000000E+0004,3
R352,R,1449, 8.18945200000000E+0004,2
R36,R,1451, 8.56468200000000E+0004,2
R372,R,1443, 8.64846700000000E+0004,2
R374,R,1439, 9.28248600000000E+0004,2
R38,R,1357, 9.48401900000000E+0004,2
R382,R38,1332, 5.04153000000000E+0003,3
R4,R,1333, 9.58359500000000E+0004,2
R412,R4,1469, 1.66175000000000E+0004,3
R4122,R412,1480, 9.04789999999994E+0002,4
R4124,R412,1483, 1.87354999999999E+0003,4
R414,R4,1550, 3.18936700000000E+0004,3
R42,R4,1572, 3.48921500000000E+0004,3
R4212,R42,1573, 2.16771999999999E+0003,4
R42132,R42,1566, 6.95776999999997E+0003,4
R421322,R42132,1555, 3.90398999999999E+0003,5
R42134,R42,1560, 7.44355999999998E+0003,4
R4214,R42,1579, 1.03248299999999E+0004,4
R42142,R4214,1577, 8.20579999999987E+0002,5
R42152,R42,1611, 1.66955700000000E+0004,4
R42154,R42,1606, 1.76407100000000E+0004,4
R42156,R42,1630, 2.26312800000000E+0004,4
R421562,R42156,1641, 2.35525000000000E+0003,5
R4216,R42,1659, 3.20416100000000E+0004,4
R42162,R4216,1657, 3.07754000000001E+0003,5
R421622,R42162,1646, 7.25450000000012E+0002,6
R4218,R42,1663, 3.26742300000000E+0004,4
R42182,R4218,1677, 2.64548999999999E+0003,5
R42184,R4218,1707, 9.70931000000000E+0003,5
R422,R42,1692, 4.64223200000000E+0004,4
R4222,R422,1709, 2.25010999999999E+0003,5
R4224,R422,1723, 9.22637000000000E+0003,5
R4226,R422,1746, 1.40463800000000E+0004,5
R4232,R42,1698, 5.01399900000000E+0004,4
R4234,R42,1705, 5.14514500000000E+0004,4
R4236,R42,1711, 5.44495900000000E+0004,4
R4238,R42,1730, 6.32758700000000E+0004,4
R42392,R42,1739, 6.66975300000000E+0004,4
R424,R42,1741, 6.73868100000000E+0004,4
R42412,R424,1764, 7.04944000000000E+0003,5
R4242,R424,1777, 9.29951000000001E+0003,5
R42422,R4242,1807, 9.71101999999999E+0003,6
R4244,R424,1778, 1.70174900000000E+0004,5
R4246,R424,1796, 2.29407400000000E+0004,5
R42462,R4246,1809, 3.93034000000000E+0003,6
R4248,R424,1817, 3.46020600000000E+0004,5
R42482,R4248,1820, 2.28969000000000E+0003,6
R42492,R424,1840, 4.54952600000000E+0004,5
R42512,R42,1742, 6.92550600000000E+0004,4
R42514,R42,1737, 7.43412700000000E+0004,4
R4252,R42,1732, 7.83145600000000E+0004,4
R42532,R42,1735, 8.36089400000000E+0004,4
R42534,R42,1747, 8.96244400000000E+0004,4
R4254,R42,1748, 9.06642000000000E+0004,4
R4256,R42,1761, 9.77198800000000E+0004,4
R4258,R42,1767, 1.00468390000000E+0005,4
R426,R42,1775, 1.03137580000000E+0005,4
R4262,R426,1776, 1.41650000000000E+0003,5
R4272,R42,1799, 1.11523270000000E+0005,4
R428,R42,1802, 1.13716450000000E+0005,4
R4282,R428,1839, 1.22682999999999E+0004,5
R4292,R42,1955, 1.13965730000000E+0005,4
R4294,R42,1833, 1.20791940000000E+0005,4
R4296,R42,1847, 1.24369970000000E+0005,4
R432,R4,1607, 3.89865200000000E+0004,3
R434,R4,1612, 3.98000200000000E+0004,3
R4342,R434,1627, 1.53444000000000E+0003,4
R436,R4,1640, 4.43770800000000E+0004,3
R438,R4,1651, 4.56083100000000E+0004,3
R4382,R438,1689, 5.31253000000000E+0003,4
R44,R4,1680, 4.97957100000000E+0004,3
R442,R44,1715, 1.03727500000000E+0004,4
R444,R44,1721, 1.29609899999999E+0004,4
R446,R44,1722, 1.47302899999999E+0004,4
R448,R44,1736, 1.87650500000000E+0004,4
R45112,R4,1693, 5.40262300000000E+0004,3
R4512,R4,1699, 5.46722300000000E+0004,3
R4514,R4,1743, 6.85516200000000E+0004,3
R45152,R4,1744, 7.30816200000000E+0004,3
R4516,R4,1760, 8.26361900000000E+0004,3
R4518,R4,1780, 8.75008100000000E+0004,3
R45182,R4518,1787, 5.22472000000000E+0003,4
R452,R4,1793, 9.09587900000000E+0004,3
R4522,R452,1812, 5.24829000000001E+0003,4
R4524,R452,1815, 7.05339000000001E+0003,4
R4526,R452,1825, 1.03468500000000E+0004,4
R454,R4,1797, 1.09737780000000E+0005,3
R4542,R454,1836, 1.09386000000000E+0004,4
R4544,R454,1852, 1.45516900000000E+0004,4
R4552,R4,1810, 1.14563320000000E+0005,3
R4554,R4,1830, 1.19625210000000E+0005,3
R456,R4,1848, 1.25074050000000E+0005,3
R4562,R456,1859, 1.79373999999999E+0003,4
R45622,R4562,1867, 3.25909000000000E+0003,5
R4564,R456,1881, 7.96969999999998E+0003,4
R4566,R456,1882, 9.69570999999999E+0003,4
R458,R4,1860, 1.40232360000000E+0005,3
R4582,R458,1900, 1.29131300000000E+0004,4
R4584,R458,1902, 1.31333200000000E+0004,4
R45842,R4584,1908, 2.93535000000001E+0003,5
R4586,R458,1919, 2.07705200000000E+0004,4
R46,R4,1872, 1.46928090000000E+0005,3
R462,R46,1884, 6.52292999999999E+0003,4
R464,R46,1893, 1.01545300000000E+0004,4
R4642,R464,1904, 8.56275000000000E+0003,5
R4644,R464,1905, 9.60004000000001E+0003,5
R4646,R464,1918, 1.59560099999999E+0004,5
R466,R46,1898, 1.22028800000000E+0004,4
R4662,R466,1934, 1.60292900000000E+0004,5
R472,R4,1877, 1.59845170000000E+0005,3
R48,R4,1885, 1.71176020000000E+0005,3
R482,R48,1901, 7.43812000000000E+0003,4
R484,R48,1910, 1.09787399999999E+0004,4
R486,R48,1921, 1.38143900000000E+0004,4
R4862,R486,1935, 5.36537000000000E+0003,5
R4872,R48,1924, 1.55777399999999E+0004,4
R4874,R48,1927, 1.72268100000000E+0004,4
R488,R48,1938, 2.11942000000000E+0004,4
R4912,R4,1888, 1.73834550000000E+0005,3
R4914,R4,1889, 1.80958890000000E+0005,3
R492,R4,1897, 1.85392490000000E+0005,3
R4922,R492,1913, 7.10096000000002E+0003,4
R494,R4,1914, 2.04863400000000E+0005,3
R496,R4,1928, 2.10298790000000E+0005,3
R4962,R496,1933, 2.95460999999999E+0003,4
R498,R4,1942, 2.17066270000000E+0005,3
R4992,R4,1945, 2.19763520000000E+0005,3
R4994,R4,1948, 2.22860390000000E+0005,3
R52,R,1352, 1.03877870000000E+0005,2
R54,R,1322, 1.04076700000000E+0005,2
R542,R54,1318, 5.89022000000000E+0003,3
R552,R,1319, 1.06590820000000E+0005,2
R56,R,1305, 1.10974050000000E+0005,2
R562,R56,1306, 2.18589999999999E+0003,3
R5622,R562,1279, 4.91388000000000E+0003,4
R564,R56,1278, 4.04223999999999E+0003,3
R572,R,1373, 1.18929030000000E+0005,2
R58,R,1396, 1.21583800000000E+0005,2
R592,R,1954, 1.21676160000000E+0005,2
R594,R,1406, 1.26436410000000E+0005,2
R6,R,1413, 1.28796750000000E+0005,2
R61112,R6,1414, 4.32215000000001E+0003,3
R6112,R6,1382, 5.81880000000000E+0003,3
R61132,R6,1365, 7.17799000000001E+0003,3
R61134,R6,1355, 8.32566000000002E+0003,3
R611342,R61134,1353, 3.29606000000000E+0003,4
R6114,R6,1338, 1.54951200000000E+0004,3
R61142,R6114,1282, 1.29725900000000E+0004,4
